|Name|Genre|Description|Duration|ContentRating|Rating
48|Nuovo Cinema Paradiso|Drama, Romance|Salvatore, a famous film director, returns to his hometown for the funeral of the local theater&apos;s film projectionist, Alfredo. He reminisces about his life as a young boy falling in love with cinema.|PT2H54M|PG|8.5
49|Modern Times|Comedy, Drama, Romance|The Tramp struggles to live in modern industrial society with the help of a young homeless woman.|PT1H27M|G|8.5
50|Alien|Horror, Sci-Fi|After investigating a mysterious transmission of unknown origin, the crew of a commercial spacecraft encounters a deadly lifeform.|PT1H57M|R|8.5
51|Rear Window|Mystery, Thriller|A house and wheelchair-bound photographer, his fashion model girlfriend and his visiting Nurse spy on neighbors from his courtyard window. Despite skepticism by his PD Detective friend, they&apos;re convinced one of his neighbors is a ...|PT1H52M|PG|8.5
52|C&apos;era una volta il West|Drama, Western|A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.|PT2H46M|PG-13|8.5
53|City Lights|Comedy, Drama, Romance|With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.|PT1H27M|G|8.5
54|Django Unchained|Comedy, Drama, Western|With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.|PT2H45M|R|8.5
55|Apocalypse Now|Drama, Mystery, War|A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.|PT2H27M|R|8.4
56|Memento|Mystery, Thriller|Leonard Shelby, an insurance investigator, suffers from anterograde amnesia and uses notes and tattoos to hunt for the man he thinks killed his wife, which is the last thing he remembers.|PT1H53M|R|8.4
57|WALL·E|Animation, Adventure, Family|A robot who is responsible for cleaning a waste-covered Earth meets another robot and falls in love with her. Together, they set out on a journey that will alter the fate of mankind.|PT1H38M|U|8.4
58|Raiders of the Lost Ark|Action, Adventure|In 1936, archaeologists and adventurers of the U.S. government hired Indiana Jones to find the Ark of the Covenant before the Nazis could obtain its extraordinary powers.|PT1H55M|PG|8.4
59|12th Fail|Biography, Drama|The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi.|PT2H27M|N/A|8.9
60|Das Leben der Anderen|Drama, Mystery, Thriller|In 1984 East Berlin, an agent of the secret police conducting surveillance on a writer and his lover finds himself becoming increasingly absorbed by their lives.|PT2H17M|R|8.4
61|Sunset Blvd.|Drama, Film-Noir|A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.|PT1H50M|Approved|8.4
62|Avengers: Infinity War|Action, Adventure, Sci-Fi|The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.|PT2H29M|PG-13|8.4
63|Paths of Glory|Drama, War|A colonel defends three of his soldiers in a court-martial after they abandon a suicidal attack.|PT1H28M|Approved|8.4
64|Spider-Man: Into the Spider-Verse|Animation, Action, Adventure|Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.|PT1H57M|U|8.4
65|Witness for the Prosecution|Crime, Drama, Mystery|A veteran British barrister must defend his client in a murder trial that has surprise after surprise.|PT1H56M|Approved|8.4
66|The Shining|Drama, Horror|A family heads to an isolated hotel for the winter, where a sinister presence influences the father into violence. At the same time, his psychic son sees horrifying forebodings from both the past and the future.|PT2H26M|R|8.4
67|The Great Dictator|Comedy, Drama, War|Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel&apos;s regime.|PT2H5M|G|8.4
68|Aliens|Action, Adventure, Sci-Fi|Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.|PT2H17M|R|8.4
69|Inglourious Basterds|Adventure, Drama, War|In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner&apos;s vengeful plans for the same.|PT2H33M|R|8.4
70|The Dark Knight Rises|Action, Drama, Thriller|Bane, an imposing terrorist, attacks Gotham City and disrupts its eight-year-long period of peace. This forces Bruce Wayne to come out of hiding and don the cape and cowl of Batman again.|PT2H44M|PG-13|8.4
71|Coco|Animation, Adventure, Drama|Aspiring musician Miguel, confronted with his family&apos;s ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.|PT1H45M|PG|8.4
72|Amadeus|Biography, Drama, Music|The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart&apos;s talent and claimed to have murdered him.|PT2H40M|PG|8.4
73|Toy Story|Animation, Adventure, Comedy|A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy&apos;s bedroom.|PT1H21M|U|8.3
74|Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb|Comedy, War|An unhinged American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.|PT1H35M|PG|8.3
75|Oldeuboi|Action, Drama, Mystery|After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must track down his captor in five days.|PT2H|R|8.3
76|American Beauty|Drama|A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter&apos;s best friend.|PT2H2M|R|8.3
77|Avengers: Endgame|Action, Adventure, Drama|After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos&apos; actions and restore balance to the universe.|PT3H1M|12A|8.4
78|Das Boot|Drama, War|A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.|PT2H29M|N/A|8.4
79|Braveheart|Biography, Drama, War|Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.|PT2H58M|R|8.3
80|Good Will Hunting|Drama, Romance|Will Hunting, a janitor at MIT, has a gift for mathematics, but needs help from a psychologist to find direction in his life.|PT2H6M|R|8.3
81|Mononoke-hime|Animation, Action, Adventure|On a journey to find the cure for a Tatarigami&apos;s curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.|PT2H13M|PG-13|8.3
82|Joker|Crime, Drama, Thriller|Arthur Fleck, a party clown and a failed stand-up comedian, leads an impoverished life with his ailing mother. However, when society shuns him and brands him as a freak, he decides to embrace the life of crime and chaos in Gotham ...|PT2H2M|15|8.4
83|Kimi no na wa.|Animation, Drama, Fantasy|Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person.|PT1H46M|N/A|8.4
84|Tengoku to jigoku|Crime, Drama, Mystery|An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur&apos;s son is kidnapped by mistake and held for ransom.|PT2H23M|Not Rated|8.4
85|3 Idiots|Comedy, Drama|Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them &quot;idiots&quot;.|PT2H50M|PG-13|8.4
86|Once Upon a Time in America|Crime, Drama|A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.|PT3H49M|R|8.3
87|Singin&apos; in the Rain|Comedy, Musical, Romance|A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.|PT1H43M|G|8.3
88|Capharnaüm|Drama|While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.|PT2H6M|R|8.4
89|Idi i smotri|Drama, Thriller, War|After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.|PT2H22M|Not Rated|8.4
90|Requiem for a Dream|Drama|The drug-induced utopias of four Coney Island people are shattered when their addictions run deep..|PT1H42M|NC-17|8.3
